ligne_etude_1,tableau_source_1,ligne_tableau_1,auteur_1,pays_1,theme_1,sous_theme_1,ligne_etude_2,tableau_source_2,ligne_tableau_2,auteur_2,pays_2,theme_2,sous_theme_2,score_global_0_1,score_global_0_100,percentile_corpus,sim_text_word,sim_text_char,sim_method,sim_theme,sim_subtheme,sim_country,mots_cles_communs,interpretation
62,3,7,Sanfo (2020),Burkina Faso,Qualité des enseignants et des directeurs et performances scolaires,Qualité des enseignants et des directeurs et performances scolaires,63,3,8,Foueka et Elomo (2022),"ASS, 10 pays",Qualité des enseignants et des directeurs et performances scolaires,Qualité des enseignants et des directeurs et performances scolaires,0.393719,39.37,99.7,0.100684,0.318181,1.0,1.0,1.0,0.0,"formation, enseignants, directeurs, scolaires, niveaux, modele","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche."
60,3,5,Armstrong (2015),"ASS, 15 pays",Qualité des enseignants et des directeurs et performances scolaires,Qualité des enseignants et des directeurs et performances scolaires,64,3,9,Kanyongo et Brown (2013),Namibie,Qualité des enseignants et des directeurs et performances scolaires,Qualité des enseignants et des directeurs et performances scolaires,0.38971,38.97,99.67,0.242588,0.488959,0.0,1.0,1.0,0.0,"enseignants, mathematiques, scolaires, directeurs, ages, relation","similarite moderee; facteurs dominants: meme sous-theme, vocabulaire/resultats tres proches."
40,1,45,Nguemkap et Dieng (2022),Cameroun,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,47,1,52,Kadio (2022),"ASS, 10 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.389084,38.91,99.64,0.091676,0.318561,1.0,1.0,1.0,0.0,"niveau, inegalites, determinants, specifiques, socio-economique, sein","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche."
30,1,35,Smith et Barrett (2010),"ASS, 6 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,46,1,51,"Ongo et al., (2022)","ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.388488,38.85,99.61,0.048286,0.256762,1.0,1.0,1.0,0.6,"lecture, apprentissage, scolaires, specifiques, opportunites, niveaux","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche, contexte geographique proche."
28,1,33,Hungi et Thuku (2009),Kenya,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,47,1,52,Kadio (2022),"ASS, 10 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.388052,38.81,99.58,0.088298,0.32413,1.0,1.0,1.0,0.0,"inegalites, socio-economique, determinants, apprentissage, specifiques, sociale","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche."
38,1,43,"Lee et al., (2005)","ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,47,1,52,Kadio (2022),"ASS, 10 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.384944,38.49,99.55,0.068313,0.341703,0.75,1.0,1.0,0.6,"inegalites, ressources, determinants, apprentissage, specifiques, opportunites","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche, contexte geographique proche."
73,4,5,Zuze et Reddy (2014),Afrique du Sud,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,74,4,6,Barnett (2013),Malawi,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,0.38105,38.11,99.52,0.093656,0.248839,1.0,1.0,1.0,0.0,"communautaire, socio-economiques, participation, lecture, inegalites, facteurs","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche."
51,2,2,"Miningou et al., (2019)",ASS 10 pays,Efficience et efficacité des systèmes éducatifs,Efficience et efficacité des systèmes éducatifs,52,2,3,"Avom et al., (2021)","ASS, 10 pays",Efficience et efficacité des systèmes éducatifs,Efficience et efficacité des systèmes éducatifs,0.380767,38.08,99.49,0.085698,0.278494,0.5,1.0,1.0,1.0,"efficience, efficacite, ressources, politiques, primaires, moyenne","similarite moderee; facteurs dominants: meme sous-theme, methodologie partiellement proche, meme contexte geographique."
38,1,43,"Lee et al., (2005)","ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,46,1,51,"Ongo et al., (2022)","ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.377883,37.79,99.46,0.042431,0.237068,0.75,1.0,1.0,1.0,"specifiques, opportunites, multilinguisme, modele, mines, lineaire","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche, meme contexte geographique."
47,1,52,Kadio (2022),"ASS, 10 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,49,1,54,Michelowa (2001),"ASS, 5 pays Burkina Faso, Cameroun, Côte d'Ivoire, Madagascar, Sénégal.","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.374773,37.48,99.43,0.048252,0.305248,0.8,1.0,1.0,0.6,"inegalites, niveaux, determinants, apprentissage, specifiques, scolaires","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche, contexte geographique proche."
28,1,33,Hungi et Thuku (2009),Kenya,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,46,1,51,"Ongo et al., (2022)","ASS, 14 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.374718,37.47,99.4,0.073263,0.281704,1.0,1.0,1.0,0.0,"specifiques, inegalites, variations, opportunites, niveaux, niveau","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche."
28,1,33,Hungi et Thuku (2009),Kenya,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,40,1,45,Nguemkap et Dieng (2022),Cameroun,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.37391,37.39,99.37,0.066331,0.30321,1.0,1.0,1.0,0.0,"niveau, specifiques, inegalites, facteurs, determinants, socio-economique","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche."
30,1,35,Smith et Barrett (2010),"ASS, 6 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,49,1,54,Michelowa (2001),"ASS, 5 pays Burkina Faso, Cameroun, Côte d'Ivoire, Madagascar, Sénégal.","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.370651,37.07,99.34,0.048755,0.271523,0.8,1.0,1.0,0.6,"apprentissage, specifiques, niveaux, scolaires, opportunites, multilinguisme","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche, contexte geographique proche."
72,4,4,Miningou (2022),ASS 10 pays,Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,75,4,7,Hossain et Bertta (2025),"ASS, 14 pays",Facteurs socio-économiques et inégalités et participation communautaire,Facteurs socio-économiques et inégalités et participation communautaire,0.368961,36.9,99.31,0.17079,0.385769,0.0,1.0,1.0,0.6,"participation, socio-economiques, inegalites, scolaires, facteurs, ecart","similarite moderee; facteurs dominants: meme sous-theme, contexte geographique proche, vocabulaire/resultats proches."
28,1,33,Hungi et Thuku (2009),Kenya,"Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,30,1,35,Smith et Barrett (2010),"ASS, 6 pays","Contextes spécifiques : conflits, mines, multilinguisme",Déterminants de la qualité de l’éducation et inégalités d’opportunités d’apprentissage,0.368911,36.89,99.28,0.064267,0.273019,1.0,1.0,1.0,0.0,"apprentissage, facteurs, specifiques, politiques, inegalites, age","similarite moderee; facteurs dominants: meme sous-theme, methodologie tres proche."
